age,work class,education,eduction num years,marital status,job title,native country,label
30, Private, Bachelors,13, Married-civ-spouse, Sales, United-States, <=50K
32, ?, 7th-8th,4, Married-spouse-absent, ?, ?, <=50K
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, United-States, <=50K
42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, United-States, >50K
29, Private, Some-college,10, Divorced, Tech-support, United-States, <=50K
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
28, Private, Some-college,10, Divorced, Adm-clerical, United-States, <=50K
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, United-States, >50K
49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, United-States, >50K
25, ?, Some-college,10, Never-married, ?, United-States, <=50K
19, Private, Some-college,10, Never-married, Prof-specialty, United-States, <=50K
31, Private, Bachelors,13, Separated, Sales, United-States, <=50K
29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, United-States, >50K
23, Private, Some-college,10, Never-married, Machine-op-inspct, United-States, <=50K
79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, United-States, <=50K
27, Private, HS-grad,9, Never-married, Other-service, Mexico, <=50K
40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, United-States, <=50K
67, ?, 10th,6, Married-civ-spouse, ?, United-States, <=50K
18, Private, 11th,7, Never-married, Other-service, United-States, <=50K
31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, United-States, <=50K
18, Private, HS-grad,9, Never-married, Sales, United-States, <=50K
52, Private, Bachelors,13, Married-civ-spouse, Other-service, Cuba, <=50K
46, Private, HS-grad,9, Married-civ-spouse, Other-service, United-States, <=50K
59, Private, HS-grad,9, Married-civ-spouse, Sales, United-States, <=50K
44, Private, HS-grad,9, Divorced, Craft-repair, United-States, >50K
53, Private, HS-grad,9, Divorced, Sales, United-States, <=50K
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, United-States, >50K
33, Private, Masters,14, Married-civ-spouse, Prof-specialty, United-States, <=50K
30, Private, 9th,5, Never-married, Sales, United-States, <=50K
43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, United-States, >50K
57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, United-States, <=50K
37, Private, Some-college,10, Divorced, Craft-repair, United-States, <=50K
28, Private, Some-college,10, Divorced, Machine-op-inspct, United-States, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Sales, ?, <=50K
34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, United-States, >50K
29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, United-States, <=50K
48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, United-States, >50K
37, Private, Some-college,10, Married-civ-spouse, Sales, United-States, >50K
48, Private, Assoc-acdm,12, Divorced, Exec-managerial, England, <=50K
32, Federal-gov, HS-grad,9, Never-married, Other-service, United-States, <=50K
76, Private, Masters,14, Married-civ-spouse, Exec-managerial, United-States, >50K
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, >50K
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, United-States, <=50K
20, Private, Some-college,10, Never-married, Tech-support, United-States, <=50K
29, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, >50K
17, ?, 10th,6, Never-married, ?, United-States, <=50K
30, Private, 11th,7, Never-married, Handlers-cleaners, United-States, <=50K
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, United-States, <=50K
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, United-States, <=50K
24, Private, Bachelors,13, Never-married, Sales, United-States, <=50K
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, United-States, >50K
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Canada, >50K
28, Private, Some-college,10, Married-civ-spouse, Sales, United-States, <=50K
36, Private, HS-grad,9, Never-married, Machine-op-inspct, United-States, <=50K
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, United-States, <=50K
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, United-States, <=50K
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, United-States, >50K
55, Private, Some-college,10, Married-civ-spouse, Sales, United-States, <=50K
22, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
21, Private, Some-college,10, Never-married, Other-service, United-States, <=50K
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, <=50K
30, Private, Bachelors,13, Never-married, Exec-managerial, Germany, <=50K
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, >50K
19, Private, Some-college,10, Never-married, Other-service, United-States, <=50K
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, >50K
20, Private, Some-college,10, Never-married, Adm-clerical, United-States, <=50K
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, United-States, >50K
35, ?, HS-grad,9, Married-civ-spouse, ?, United-States, <=50K
39, Private, Some-college,10, Divorced, Craft-repair, United-States, <=50K
28, Private, Assoc-acdm,12, Never-married, Sales, United-States, <=50K
24, Private, HS-grad,9, Never-married, Other-service, United-States, <=50K
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
37, Private, Bachelors,13, Married-civ-spouse, Sales, United-States, <=50K
46, Private, Assoc-acdm,12, Divorced, Tech-support, United-States, <=50K
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Iran, >50K
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, United-States, <=50K
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, United-States, >50K
61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
27, Private, Some-college,10, Never-married, Sales, United-States, <=50K
19, Private, Some-college,10, Never-married, Other-service, Mexico, <=50K
45, Private, Assoc-voc,11, Never-married, Prof-specialty, United-States, >50K
70, Private, Some-college,10, Never-married, Tech-support, United-States, <=50K
31, Private, HS-grad,9, Never-married, Transport-moving, United-States, <=50K
22, Private, Some-college,10, Married-civ-spouse, Other-service, United-States, <=50K
36, Private, HS-grad,9, Widowed, Other-service, United-States, <=50K
64, Private, 11th,7, Married-civ-spouse, Craft-repair, United-States, <=50K
43, ?, Some-college,10, Divorced, ?, United-States, <=50K
47, Local-gov, Some-college,10, Divorced, Adm-clerical, Mexico, <=50K
34, Private, HS-grad,9, Never-married, Adm-clerical, United-States, <=50K
33, Private, Bachelors,13, Never-married, Exec-managerial, Philippines, <=50K
21, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
52, ?, HS-grad,9, Divorced, ?, United-States, >50K
48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
23, Private, Bachelors,13, Never-married, Handlers-cleaners, United-States, <=50K
71, Self-emp-not-inc, Some-college,10, Separated, Sales, United-States, <=50K
29, Private, HS-grad,9, Divorced, Craft-repair, United-States, <=50K
42, Private, Bachelors,13, Separated, Other-service, United-States, <=50K
68, ?, 1st-4th,2, Divorced, ?, United-States, <=50K
25, Private, HS-grad,9, Never-married, Other-service, United-States, <=50K
44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, United-States, <=50K
28, Private, HS-grad,9, Never-married, Exec-managerial, England, <=50K
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, United-States, >50K
36, Private, Some-college,10, Divorced, Other-service, Mexico, <=50K
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, United-States, <=50K
46, State-gov, Masters,14, Widowed, Protective-serv, United-States, <=50K
18, Private, 11th,7, Never-married, Handlers-cleaners, United-States, <=50K
66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, United-States, <=50K
27, Private, HS-grad,9, Never-married, Other-service, United-States, <=50K
28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, United-States, <=50K
51, Private, Some-college,10, Married-civ-spouse, Sales, United-States, >50K
27, Private, Bachelors,13, Never-married, Craft-repair, United-States, <=50K
28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, >50K
27, Private, HS-grad,9, Married-spouse-absent, Sales, United-States, <=50K
21, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
34, Private, HS-grad,9, Never-married, Handlers-cleaners, United-States, <=50K
18, Private, HS-grad,9, Never-married, Other-service, United-States, <=50K
33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, <=50K
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, United-States, >50K
43, Private, Some-college,10, Divorced, Adm-clerical, United-States, <=50K
30, Private, Some-college,10, Never-married, Craft-repair, United-States, <=50K
40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Mexico, >50K
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, United-States, >50K
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, United-States, <=50K
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, United-States, <=50K
53, ?, Bachelors,13, Divorced, ?, United-States, <=50K
31, Private, Masters,14, Married-civ-spouse, Prof-specialty, United-States, <=50K
58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, United-States, >50K
38, Private, Some-college,10, Divorced, Machine-op-inspct, United-States, <=50K
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, United-States, <=50K
41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, United-States, <=50K
47, Private, Some-college,10, Married-civ-spouse, Tech-support, United-States, <=50K
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, United-States, <=50K
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Mexico, <=50K
36, Private, Some-college,10, Divorced, Craft-repair, United-States, <=50K
40, Federal-gov, Masters,14, Never-married, Exec-managerial, United-States, >50K
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, United-States, >50K
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, United-States, <=50K
26, Private, Masters,14, Never-married, Prof-specialty, United-States, <=50K
19, ?, HS-grad,9, Never-married, ?, Italy, <=50K
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, >50K
42, Local-gov, Some-college,10, Never-married, Prof-specialty, United-States, <=50K
37, State-gov, HS-grad,9, Divorced, Adm-clerical, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, United-States, <=50K
36, Private, Bachelors,13, Married-civ-spouse, Other-service, United-States, >50K
35, Private, HS-grad,9, Divorced, Craft-repair, United-States, <=50K
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, United-States, >50K
17, Private, 11th,7, Never-married, Sales, United-States, <=50K
44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, United-States, <=50K
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, >50K
35, Private, Some-college,10, Never-married, Sales, United-States, <=50K
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, United-States, >50K
37, Private, Bachelors,13, Never-married, Exec-managerial, United-States, >50K
50, Private, Assoc-acdm,12, Divorced, Sales, United-States, <=50K
38, Private, Bachelors,13, Married-civ-spouse, Sales, Poland, <=50K
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, <=50K
25, Private, 10th,6, Never-married, Craft-repair, United-States, <=50K
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, United-States, <=50K
64, ?, 1st-4th,2, Divorced, ?, United-States, <=50K
90, Private, HS-grad,9, Never-married, Other-service, United-States, <=50K
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, United-States, <=50K
53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, United-States, <=50K
18, Private, HS-grad,9, Never-married, Sales, United-States, <=50K
60, ?, 10th,6, Divorced, ?, United-States, <=50K
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, United-States, <=50K
75, Private, Assoc-voc,11, Widowed, Adm-clerical, Columbia, <=50K
65, Private, HS-grad,9, Divorced, Adm-clerical, United-States, <=50K
35, Private, 11th,7, Separated, Transport-moving, United-States, <=50K
41, Private, HS-grad,9, Divorced, Sales, United-States, <=50K
25, Private, Some-college,10, Never-married, Adm-clerical, United-States, <=50K
33, Private, Some-college,10, Divorced, Craft-repair, United-States, <=50K
28, Private, Prof-school,15, Never-married, Prof-specialty, United-States, >50K
59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, United-States, <=50K
40, State-gov, Some-college,10, Never-married, Adm-clerical, United-States, <=50K
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Iran, >50K
38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, United-States, >50K
23, Private, HS-grad,9, Never-married, Transport-moving, United-States, <=50K
40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, >50K
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, United-States, <=50K
24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, United-States, <=50K
20, ?, Some-college,10, Never-married, ?, United-States, <=50K
38, Private, Some-college,10, Divorced, Craft-repair, United-States, <=50K
56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, ?, <=50K
58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, United-States, >50K
32, Private, HS-grad,9, Never-married, Other-service, United-States, <=50K
40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, United-States, >50K
45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, ?, <=50K
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, United-States, >50K
42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, United-States, <=50K
59, Local-gov, 10th,6, Widowed, Other-service, United-States, <=50K
19, Local-gov, Some-college,10, Never-married, Adm-clerical, United-States, <=50K
58, Private, Some-college,10, Never-married, Transport-moving, United-States, <=50K
42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Cambodia, >50K
20, Private, HS-grad,9, Never-married, Other-service, United-States, <=50K
32, Private, HS-grad,9, Separated, Other-service, United-States, <=50K
45, Private, Assoc-voc,11, Widowed, Exec-managerial, United-States, <=50K
50, Private, 7th-8th,4, Divorced, Craft-repair, United-States, <=50K
36, Private, Bachelors,13, Divorced, Prof-specialty, United-States, <=50K
45, Private, HS-grad,9, Married-civ-spouse, Sales, United-States, <=50K
17, Private, 11th,7, Never-married, Other-service, United-States, <=50K
59, Private, Some-college,10, Married-civ-spouse, Sales, United-States, <=50K
26, Private, 11th,7, Married-civ-spouse, Craft-repair, United-States, <=50K
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Thailand, >50K
19, ?, Some-college,10, Never-married, ?, Canada, <=50K
64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, United-States, >50K
33, Private, Bachelors,13, Never-married, Prof-specialty, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, >50K
61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, United-States, >50K
17, Private, 9th,5, Never-married, Other-service, United-States, <=50K
50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, United-States, <=50K
27, Local-gov, Masters,14, Never-married, Prof-specialty, United-States, <=50K
30, Private, HS-grad,9, Divorced, Prof-specialty, United-States, <=50K
43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, United-States, <=50K
44, Private, Some-college,10, Married-civ-spouse, Craft-repair, United-States, >50K
35, Private, Some-college,10, Never-married, Exec-managerial, United-States, <=50K
25, Private, Some-college,10, Never-married, Tech-support, United-States, <=50K
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, United-States, >50K
22, Private, Bachelors,13, Never-married, Prof-specialty, Germany, <=50K
42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, United-States, >50K
34, Private, Assoc-acdm,12, Divorced, Sales, United-States, <=50K
60, Private, Bachelors,13, Divorced, Prof-specialty, United-States, <=50K
21, Private, HS-grad,9, Never-married, Handlers-cleaners, United-States, <=50K
57, Federal-gov, Masters,14, Married-civ-spouse, Sales, United-States, >50K
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, United-States, >50K
50, Private, Some-college,10, Divorced, Other-service, United-States, <=50K
25, Private, Bachelors,13, Never-married, Exec-managerial, United-States, <=50K
50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Ecuador, <=50K
36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, United-States, <=50K
31, Private, HS-grad,9, Divorced, Prof-specialty, United-States, <=50K
29, Local-gov, Bachelors,13, Never-married, Protective-serv, United-States, <=50K
21, Private, Some-college,10, Never-married, Sales, United-States, <=50K
27, Private, Bachelors,13, Never-married, Tech-support, United-States, <=50K
65, Private, HS-grad,9, Married-civ-spouse, Transport-moving, United-States, <=50K
37, Self-emp-inc, Bachelors,13, Divorced, Sales, United-States, <=50K
39, ?, Masters,14, Married-civ-spouse, ?, ?, <=50K
24, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
38, Private, HS-grad,9, Divorced, Sales, United-States, <=50K
48, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, United-States, >50K
21, Private, Some-college,10, Never-married, Other-service, United-States, <=50K
31, Private, HS-grad,9, Married-civ-spouse, Transport-moving, United-States, >50K
55, Private, HS-grad,9, Married-civ-spouse, Sales, United-States, >50K
24, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Laos, <=50K
43, Private, HS-grad,9, Divorced, Adm-clerical, United-States, <=50K
26, Private, Assoc-acdm,12, Never-married, Tech-support, United-States, <=50K
46, Private, Assoc-acdm,12, Never-married, Prof-specialty, United-States, <=50K
35, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, United-States, >50K
41, Self-emp-inc, Some-college,10, Married-civ-spouse, Farming-fishing, United-States, >50K
26, Private, Bachelors,13, Never-married, Sales, United-States, <=50K
34, Private, Masters,14, Married-civ-spouse, Exec-managerial, Taiwan, >50K
19, ?, Some-college,10, Never-married, ?, United-States, <=50K
36, Self-emp-not-inc, Bachelors,13, Divorced, Prof-specialty, United-States, >50K
22, Private, Some-college,10, Never-married, Sales, United-States, <=50K
24, Private, Some-college,10, Never-married, Machine-op-inspct, United-States, <=50K
77, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, United-States, <=50K
22, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Mexico, <=50K
29, Private, Some-college,10, Never-married, Tech-support, United-States, <=50K
62, Private, HS-grad,9, Widowed, Other-service, United-States, <=50K
39, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, United-States, <=50K
43, Private, Some-college,10, Married-civ-spouse, Craft-repair, United-States, <=50K
35, Private, HS-grad,9, Divorced, Transport-moving, United-States, <=50K
29, Private, 11th,7, Never-married, Exec-managerial, United-States, <=50K
76, Self-emp-not-inc, Masters,14, Married-civ-spouse, Craft-repair, United-States, <=50K
63, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, United-States, <=50K
23, ?, Assoc-voc,11, Never-married, ?, United-States, <=50K
43, Private, Some-college,10, Married-civ-spouse, Prof-specialty, United-States, >50K
58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Handlers-cleaners, United-States, <=50K
66, Private, HS-grad,9, Never-married, Transport-moving, United-States, <=50K
41, Private, Some-college,10, Never-married, Craft-repair, United-States, <=50K
26, Private, Bachelors,13, Never-married, Adm-clerical, United-States, <=50K
47, Private, Assoc-voc,11, Never-married, Other-service, United-States, <=50K
55, Local-gov, 10th,6, Married-civ-spouse, Adm-clerical, United-States, <=50K
53, Private, HS-grad,9, Married-civ-spouse, Transport-moving, United-States, <=50K
17, Private, 5th-6th,3, Never-married, Other-service, Mexico, <=50K
30, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
49, Private, Masters,14, Never-married, Prof-specialty, United-States, <=50K
19, Private, HS-grad,9, Never-married, Sales, Haiti, <=50K
45, Private, HS-grad,9, Married-civ-spouse, Other-service, United-States, <=50K
26, Private, Assoc-acdm,12, Never-married, Sales, United-States, <=50K
38, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, United-States, >50K
36, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, United-States, >50K
33, Private, HS-grad,9, Never-married, Farming-fishing, United-States, <=50K
22, State-gov, Some-college,10, Never-married, Protective-serv, United-States, <=50K
43, Self-emp-not-inc, Bachelors,13, Never-married, Sales, United-States, <=50K
67, ?, 11th,7, Married-civ-spouse, ?, United-States, <=50K
30, ?, Assoc-voc,11, Divorced, ?, United-States, <=50K
56, Private, Assoc-acdm,12, Married-spouse-absent, Other-service, Iran, <=50K
31, Private, Bachelors,13, Never-married, Prof-specialty, United-States, <=50K
33, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, >50K
26, Private, HS-grad,9, Married-civ-spouse, Other-service, United-States, <=50K
33, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, United-States, >50K
46, Local-gov, 11th,7, Married-civ-spouse, Transport-moving, United-States, <=50K
59, ?, Bachelors,13, Married-civ-spouse, ?, United-States, >50K
38, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, United-States, >50K
65, Private, 11th,7, Widowed, Other-service, United-States, <=50K
40, Private, Assoc-voc,11, Married-civ-spouse, Tech-support, United-States, >50K
42, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, United-States, <=50K
26, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Portugal, <=50K
36, Private, 10th,6, Married-civ-spouse, Other-service, United-States, <=50K
62, Private, Masters,14, Married-civ-spouse, Prof-specialty, United-States, >50K
43, Private, Bachelors,13, Married-civ-spouse, Transport-moving, United-States, <=50K
43, Private, Bachelors,13, Divorced, Exec-managerial, United-States, >50K
22, Private, HS-grad,9, Married-spouse-absent, Sales, United-States, <=50K
28, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
56, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, United-States, <=50K
22, Private, Assoc-acdm,12, Never-married, Sales, United-States, <=50K
57, Private, Bachelors,13, Divorced, Exec-managerial, United-States, >50K
39, Private, HS-grad,9, Divorced, Sales, United-States, <=50K
26, Federal-gov, Some-college,10, Never-married, Adm-clerical, United-States, <=50K
17, Private, 11th,7, Never-married, Other-service, United-States, <=50K
40, State-gov, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, United-States, >50K
45, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, United-States, <=50K
44, Private, HS-grad,9, Never-married, Craft-repair, United-States, <=50K
20, Local-gov, Some-college,10, Never-married, Adm-clerical, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, United-States, <=50K
